Time_x,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Abbreviation,GridPosition,ClassifiedPosition,Status,MaxSpeed,AvgSpeed,AvgThrottle,AvgBrake,AvgRPM,LapStartTime_s,Time_y,AirTemp,Humidity,TrackTemp,TotalSectorTime,Winner,Podium,RacePhase,GridGroup,SpeedCategory,Driver_ALO,Driver_BOT,Driver_HAM,Driver_HUL,Driver_LEC,Driver_MAG,Driver_NOR,Driver_OCO,Driver_PER,Driver_PIA,Driver_RIC,Driver_RUS,Driver_SAI,Driver_SAR,Driver_STR,Driver_TSU,Driver_VER,Driver_ZHO,TeamName_Aston Martin,TeamName_Ferrari,TeamName_Haas F1 Team,TeamName_Kick Sauber,TeamName_McLaren,TeamName_Mercedes,TeamName_RB,TeamName_Red Bull Racing,TeamName_Williams,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Predicted_LapTime
0 days 01:04:40.010000,20,93.11,-1.5356148582490585,1.0,,,29.503,-0.24156716385848936,25.41,0 days 01:03:36.437000,0 days 01:04:14.634000,0 days 01:04:40.044000,317.0,259.0,246.0,328.0,True,4.0,True,Haas F1 Team,0 days 01:03:06.900000,2024-07-07 14:08:03.929,1,17.0,False,,False,True,MAG,17.0,12.0,Finished,2.8423571460507056,0.5991897073754299,0.1274509630832345,0.187629530811399,0.6299978581233902,3786.9,3785.556,0.8881542111589152,61.0,0.05255997093491829,93.11,0,0,Early,Backmarker,Fast,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,92.9810403908996
0 days 01:24:52.216000,3,95.885,-0.6440934580769304,1.0,,,29.662,-0.15738600458944332,27.817,0 days 01:23:46.075000,0 days 01:24:24.481000,0 days 01:24:52.298000,307.0,254.0,239.0,317.0,False,17.0,True,RB,0 days 01:23:16.331000,2024-07-07 14:28:13.360,1,16.0,False,,False,True,RIC,15.0,13.0,Lapped,1.3367372549011949,0.1111649034619087,-0.1544548762605145,0.1565713194432415,0.7052393017760168,4996.331,4985.646,1.0245566477456738,62.0,0.13186845219975876,95.88499999999999,0,0,Early,Midfield,Medium,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,95.53587704642936
0 days 01:43:39.326000,77,102.562,0.11027080360717804,2.0,,,32.119,1.2084432350341947,28.646,0 days 01:42:28.938000,0 days 01:43:10.735000,0 days 01:43:39.381000,281.0,243.0,220.0,287.0,False,2.0,True,Kick Sauber,0 days 01:41:56.764000,2024-07-07 14:46:53.793,1,15.0,False,,False,True,BOT,16.0,15.0,Lapped,-1.3518696935800742,-0.8615456201150133,-0.6905136771731978,1.0913986277255123,-0.9220459640700428,6116.764,6065.769,-0.8850774644689846,70.0,-1.137067248037693,102.562,0,0,Mid,Backmarker,Slow,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,102.52002009886802
0 days 02:11:47.215000,4,89.96,1.3446850499993555,3.0,,,29.406,-1.0866010018798407,24.455,0 days 02:10:46.722000,0 days 02:11:22.821000,0 days 02:11:47.276000,295.0,262.0,251.0,302.0,False,9.0,False,McLaren,0 days 02:10:17.255000,2024-07-07 15:15:14.284,1,2.0,False,,False,True,NOR,3.0,3.0,Finished,0.36883875344793793,0.9691525430541855,0.8156556148942038,-1.0401964684730451,0.18495305773898343,7817.255,7806.02,-0.20306528153517733,73.0,0.40944813662670115,89.96,0,1,Late,Top5,VeryFast,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,90.64281277322955
0 days 01:33:28.351000,16,104.352,-0.30120061185688113,2.0,,,33.006,1.53872338144864,28.729,0 days 01:32:17.058000,0 days 01:32:59.675000,0 days 01:33:28.404000,282.0,240.0,217.0,290.0,False,3.0,True,Ferrari,0 days 01:31:43.999000,2024-07-07 14:36:41.028,1,16.0,False,,False,True,LEC,11.0,14.0,Lapped,-1.2443254156408237,-1.2254888558112178,-0.4303337173098915,0.02198405520777116,-0.5604423810875782,5503.999,5465.676,-0.3394677181219383,68.0,-0.7405248417134893,104.35199999999999,0,0,Mid,Midfield,Slow,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,101.38999233833069
0 days 01:09:03.785000,1,91.935,-1.329879150517029,1.0,,,29.586,-0.7140288854976904,25.325,0 days 01:08:01.491000,0 days 01:08:38.515000,0 days 01:09:03.840000,292.0,258.0,245.0,294.0,False,7.0,True,Red Bull Racing,0 days 01:07:31.850000,2024-07-07 14:12:28.879,1,3.0,False,,False,True,VER,4.0,2.0,Finished,-0.7066040259445697,0.725534886090277,0.8491766961178642,-0.2878108750400611,0.7441829278425676,4051.85,4025.531,0.8881542111589152,61.0,0.5680650991563821,91.935,0,1,Early,Top5,VeryFast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,90.41936636978552
0 days 02:03:42.694000,14,91.146,0.9332136345352964,3.0,,,29.107,-0.7430290934755452,25.087,0 days 02:02:40.747000,0 days 02:03:17.699000,0 days 02:03:42.786000,296.0,258.0,252.0,300.0,True,2.0,True,Aston Martin,0 days 02:02:11.548000,2024-07-07 15:07:08.577,1,8.0,False,,False,True,ALO,10.0,8.0,Finished,-0.38397119212681746,0.7990449186609174,0.6276329665441761,-0.35078179591388503,0.24204152394676376,7331.548,7325.931,-0.7486750278822236,74.0,0.1715226928321783,91.146,0,0,Late,Top10,VeryFast,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,90.89884552435744
0 days 01:51:48.697000,23,104.82,0.45316364982722734,2.0,,,32.729,1.5145565414670972,29.534,0 days 01:50:36.606000,0 days 01:51:19.163000,0 days 01:51:48.697000,288.0,238.0,214.0,298.0,False,6.0,True,Williams,0 days 01:50:03.877000,2024-07-07 14:55:00.906,1,11.0,False,,False,True,ALB,9.0,9.0,Finished,-0.38397119212681746,-1.2643939987919186,-2.1155895117674426,0.723008766233053,-1.1805296610727085,6603.877,6545.813,-1.5670896474027918,73.0,-1.2956842105673754,104.82,0,0,Mid,Top10,Slow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,104.61404248618408
0 days 02:18:51.556000,23,89.828,1.618999326975395,3.0,,,29.05,-1.0455173739112131,24.577,0 days 02:17:50.778000,0 days 02:18:26.979000,0 days 02:18:51.556000,296.0,260.0,251.0,300.0,True,12.0,True,Williams,0 days 02:17:21.728000,2024-07-07 15:22:18.757,1,9.0,False,,False,True,ALB,9.0,9.0,Finished,0.1537501975694364,0.9918348330772102,0.7599408431478569,-0.7771792011142996,0.322897424933526,8241.728,8226.085,0.206142028225108,69.0,0.5680650991563821,89.828,0,0,Late,Top10,VeryFast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,88.8960951281953
0 days 01:54:19.582000,44,102.271,0.590320788315247,2.0,,,32.513,1.1065397264453476,28.214,0 days 01:53:09.852000,0 days 01:53:51.396000,0 days 01:54:19.610000,296.0,243.0,225.0,299.0,False,8.0,True,Mercedes,0 days 01:52:37.311000,2024-07-07 14:57:34.340,1,2.0,False,,False,True,HAM,2.0,1.0,Finished,-0.2764269141875667,-0.7734982353384481,-0.5755174949066982,0.07030340055883935,-0.22527084373031928,6757.311,6725.865,-1.430687210816031,76.0,-1.0974130074052735,102.27099999999999,1,1,Late,Top5,Medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,102.07491569551345
0 days 02:11:34.439000,20,91.722,1.2761064807553457,3.0,,,29.874,-0.863863293383268,25.196,0 days 02:10:32.625000,0 days 02:11:09.277000,0 days 02:11:34.473000,289.0,257.0,249.0,298.0,False,8.0,True,Haas F1 Team,0 days 02:10:02.717000,2024-07-07 15:14:59.746,1,12.0,False,,False,True,MAG,17.0,12.0,Finished,0.1537501975694364,0.7082199174978964,0.6091872674989819,0.1851341118498073,1.102935461119386,7802.717,7746.012,-0.3394677181219383,73.0,0.21117693346459926,91.722,0,0,Late,Backmarker,VeryFast,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,91.4220363611156
0 days 01:02:59.842000,18,92.307,-1.6041934274930685,1.0,,,29.333,-0.3704569770933949,25.097,0 days 01:01:56.927000,0 days 01:02:34.804000,0 days 01:02:59.901000,316.0,258.0,246.0,321.0,True,3.0,True,Aston Martin,0 days 01:01:27.535000,2024-07-07 14:06:24.564,1,7.0,False,,False,True,STR,8.0,7.0,Finished,1.766914366658198,0.6688097076191439,-0.31789272018244796,-0.16746321451143498,0.2448953990773632,3687.535,3665.476,0.8881542111589152,62.0,3.5817873872203316,92.30700000000002,0,0,Early,Top10,Fast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,94.82492134486415
0 days 01:07:39.387000,27,92.697,-1.3984577197610388,1.0,,,29.525,-0.47679107301219315,25.559,0 days 01:06:36.255000,0 days 01:07:13.868000,0 days 01:07:39.427000,311.0,259.0,246.0,320.0,False,6.0,True,Haas F1 Team,0 days 01:06:06.690000,2024-07-07 14:11:03.719,1,9.0,False,,False,True,HUL,6.0,6.0,Finished,1.766914366658198,0.502197978276235,-0.05628264746873688,0.10731181702834298,0.7647961113753553,3966.69,3965.525,0.7517517745721518,61.0,0.13186845219975876,92.697,0,0,Early,Top10,Fast,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,93.84161365110135
