Compound,GridGroup,RacePhase,Sector1Time,Sector2Time,Sector3Time,LapTime
HARD,Top5,Early,,,,
HARD,Top5,Mid,,,,
HARD,Top5,Late,30.76842857142857,36.033,24.6515,91.45292857142856
HARD,Top10,Early,,,,
HARD,Top10,Mid,,,,
HARD,Top10,Late,31.11890909090909,36.322272727272725,24.715999999999998,92.15718181818183
HARD,Midfield,Early,,,,
HARD,Midfield,Mid,,,,
HARD,Midfield,Late,,,,
HARD,Backmarker,Early,29.5115,37.8485,25.544,92.904
HARD,Backmarker,Mid,32.1185,39.324,27.1835,98.626
HARD,Backmarker,Late,,,,
INTERMEDIATE,Top5,Early,,,,
INTERMEDIATE,Top5,Mid,35.141323529411764,41.0465,28.72708823529412,104.91491176470588
INTERMEDIATE,Top5,Late,31.902882352941173,41.03888235294117,27.253588235294117,100.19535294117647
INTERMEDIATE,Top10,Early,,,,
INTERMEDIATE,Top10,Mid,34.07819444444445,41.84375,28.996333333333332,104.91827777777777
INTERMEDIATE,Top10,Late,32.0284347826087,41.44982608695652,27.554391304347824,101.03265217391305
INTERMEDIATE,Midfield,Early,,,,
INTERMEDIATE,Midfield,Mid,34.60238775510204,42.667530612244896,29.06112244897959,106.33104081632654
INTERMEDIATE,Midfield,Late,32.373588235294115,42.025176470588235,27.636764705882353,102.03552941176471
INTERMEDIATE,Backmarker,Early,,,,
INTERMEDIATE,Backmarker,Mid,34.916342105263155,42.24976315789473,29.15952631578947,106.32563157894738
INTERMEDIATE,Backmarker,Late,32.29123076923077,42.10492307692308,27.95753846153846,102.3536923076923
MEDIUM,Top5,Early,29.4842875,37.119925,25.3372625,91.941475
MEDIUM,Top5,Mid,30.69964,39.25188,26.73826,96.68977999999998
MEDIUM,Top5,Late,30.638714285714286,36.003,24.556714285714285,91.19842857142858
MEDIUM,Top10,Early,29.5914,37.625074999999995,25.553424999999997,92.76989999999999
MEDIUM,Top10,Mid,30.712276595744683,39.4506170212766,26.748127659574468,96.91102127659575
MEDIUM,Top10,Late,30.75839024390244,36.62441463414634,24.852048780487806,92.23485365853658
MEDIUM,Midfield,Early,30.002840579710142,37.811159420289854,25.652362318840577,93.46636231884058
MEDIUM,Midfield,Mid,31.2629696969697,40.03190909090909,27.168969696969697,98.46384848484848
MEDIUM,Midfield,Late,,,,
MEDIUM,Backmarker,Early,29.76853125,38.02846875,25.74609375,93.54309375
MEDIUM,Backmarker,Mid,31.953041666666667,40.74825,27.397916666666664,100.09920833333332
MEDIUM,Backmarker,Late,31.636772727272728,37.071636363636365,25.423045454545456,94.13145454545453
SOFT,Top5,Early,,,,
SOFT,Top5,Mid,,,,
SOFT,Top5,Late,30.899407407407406,36.33925925925926,24.638703703703705,91.87737037037037
SOFT,Top10,Early,,,,
SOFT,Top10,Mid,,,,
SOFT,Top10,Late,32.0538,36.547066666666666,24.8238,93.42466666666665
SOFT,Midfield,Early,30.101545454545455,38.41045454545454,25.902545454545454,94.41454545454545
SOFT,Midfield,Mid,,,,
SOFT,Midfield,Late,30.72855882352941,36.9862205882353,25.16614705882353,92.88092647058824
SOFT,Backmarker,Early,30.1158125,38.3080625,26.0775625,94.50143750000001
SOFT,Backmarker,Mid,32.3955,39.822,27.8965,100.114
SOFT,Backmarker,Late,30.472766666666665,37.2862,25.3085,93.06746666666666
