LapTime,MaxSpeed,AvgThrottle,AirTemp,Driver,TeamName,GridGroup
91.418,300.0,74.34371823236319,16.2,RUS,Mercedes,Top5
91.42,320.0,70.94997448491414,16.2,HAM,Mercedes,Top5
91.773,317.0,70.28389616800668,16.2,VER,Red Bull Racing,Top5
92.188,321.0,66.32384976510605,16.2,NOR,McLaren,Top5
92.361,329.0,66.9394289482729,16.2,PIA,McLaren,Top5
92.359,323.0,70.23217156826978,16.2,SAI,Ferrari,Top10
92.683,328.0,65.50668149182994,16.2,STR,Aston Martin,Top10
92.858,326.0,69.03709765154431,16.2,LEC,Ferrari,Midfield
92.844,324.0,66.07991551426497,16.2,HUL,Haas F1 Team,Top10
93.202,329.0,67.13096967460439,16.2,ALO,Aston Martin,Top10
93.214,333.0,67.9223086629237,16.2,TSU,RB,Midfield
93.158,332.0,65.07609769540898,16.2,ALB,Williams,Top10
93.435,330.0,67.38712364914392,16.2,SAR,Williams,Midfield
93.563,330.0,68.23681108079597,16.2,ZHO,Kick Sauber,Midfield
93.709,327.0,69.43938174821257,16.2,RIC,RB,Midfield
93.846,326.0,71.26523642848593,16.2,OCO,Alpine,Backmarker
94.216,326.0,65.24758999978742,16.2,MAG,Haas F1 Team,Backmarker
95.368,312.0,69.20472530657494,16.2,BOT,Kick Sauber,Backmarker
92.942,304.0,71.25227922221424,16.2,PER,Red Bull Racing,Backmarker
91.298,302.0,72.56921566377021,16.3,RUS,Mercedes,Top5
91.716,310.0,70.43463556854255,16.3,HAM,Mercedes,Top5
92.2,298.0,69.81583201579056,16.3,VER,Red Bull Racing,Top5
91.991,315.0,66.64809301547679,16.3,NOR,McLaren,Top5
91.927,324.0,66.89977480556236,16.3,PIA,McLaren,Top5
92.102,321.0,69.73694070474731,16.3,SAI,Ferrari,Top10
92.307,322.0,66.09183874439258,16.3,STR,Aston Martin,Top10
92.369,319.0,72.43916592797916,16.3,LEC,Ferrari,Midfield
92.605,323.0,67.21470508839036,16.3,HUL,Haas F1 Team,Top10
92.951,325.0,66.23480687310487,16.3,ALO,Aston Martin,Top10
93.062,329.0,68.59096975703578,16.3,TSU,RB,Midfield
93.373,326.0,65.44999135021594,16.3,ALB,Williams,Top10
93.319,326.0,67.20704515100701,16.3,SAR,Williams,Midfield
93.487,322.0,69.96643996069749,16.3,ZHO,Kick Sauber,Midfield
93.429,327.0,67.15891940656718,16.3,RIC,RB,Midfield
93.479,321.0,72.27864676626871,16.3,OCO,Alpine,Backmarker
93.259,327.0,67.6316872939979,16.3,MAG,Haas F1 Team,Backmarker
94.447,297.0,69.83957223097077,16.3,BOT,Kick Sauber,Backmarker
92.34,307.0,70.07088306280087,16.3,PER,Red Bull Racing,Backmarker
91.799,300.0,74.79575361695053,16.3,RUS,Mercedes,Top5
91.988,298.0,73.27072088421967,16.3,HAM,Mercedes,Top5
91.933,300.0,70.96905025835376,16.3,VER,Red Bull Racing,Top5
91.976,315.0,67.83860042831503,16.3,NOR,McLaren,Top5
91.919,322.0,69.0719719446381,16.3,PIA,McLaren,Top5
92.045,321.0,69.60505408542328,16.3,SAI,Ferrari,Top10
92.968,302.0,68.66623561652194,16.3,STR,Aston Martin,Top10
92.705,321.0,69.09437006438263,16.3,LEC,Ferrari,Midfield
92.563,323.0,66.19504651724843,16.3,HUL,Haas F1 Team,Top10
93.192,302.0,67.74068135828328,16.3,ALO,Aston Martin,Top10
93.164,327.0,66.24951064388934,16.3,TSU,RB,Midfield
93.059,324.0,64.18475925762952,16.3,ALB,Williams,Top10
93.11,323.0,67.80592940252478,16.3,SAR,Williams,Midfield
93.221,323.0,70.11188697856971,16.3,ZHO,Kick Sauber,Midfield
93.253,320.0,66.83090253399546,16.3,RIC,RB,Midfield
93.316,315.0,73.11448454775666,16.3,OCO,Alpine,Backmarker
93.11,332.0,68.60913155549983,16.3,MAG,Haas F1 Team,Backmarker
94.322,321.0,71.11073379857417,16.3,BOT,Kick Sauber,Backmarker
