group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,-443.8521,0.6161,-1058.6584,170.9542,False
HARD_Backmarker_Early,HARD_Top10_Late,-279.0062,0.2128,-600.0784,42.0659,False
HARD_Backmarker_Early,HARD_Top5_Late,178.3876,0.9196,-121.6072,478.3824,False
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,-592.7339,0.0,-898.8206,-286.6473,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,-735.4609,0.0,-979.7602,-491.1617,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,-437.0247,0.0,-722.5533,-151.4961,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,-495.4766,0.0,-731.5112,-259.442,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,-444.4997,0.0,-711.3609,-177.6385,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,-521.9656,0.0,-768.2673,-275.6639,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,-226.479,0.3992,-512.0075,59.0496,False
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,-349.9496,0.0001,-598.4703,-101.4289,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,-41.8271,1.0,-292.8208,209.1665,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,-274.1088,0.0398,-543.4468,-4.7709,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,-380.6482,0.0,-645.2187,-116.0776,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,-65.3542,1.0,-292.8126,162.1042,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,-194.6009,0.4399,-444.3236,55.1219,False
HARD_Backmarker_Early,MEDIUM_Top10_Early,-79.5663,1.0,-304.0618,144.9292,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,-101.9765,0.9994,-343.613,139.66,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,-168.6028,0.6507,-405.8704,68.6648,False
HARD_Backmarker_Early,MEDIUM_Top5_Early,133.4764,0.9197,-91.0191,357.9719,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,204.6732,0.7331,-95.3215,504.668,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,12.4438,1.0,-223.009,247.8967,False
HARD_Backmarker_Early,SOFT_Backmarker_Early,-253.4356,0.2021,-543.2581,36.3869,False
HARD_Backmarker_Early,SOFT_Backmarker_Late,37.6968,1.0,-216.0704,291.4639,False
HARD_Backmarker_Early,SOFT_Backmarker_Mid,-615.7179,0.0491,-1230.5242,-0.9116,True
HARD_Backmarker_Early,SOFT_Midfield_Early,-236.7679,0.5682,-557.84,84.3043,False
HARD_Backmarker_Early,SOFT_Midfield_Late,-145.5746,0.8403,-373.3477,82.1984,False
HARD_Backmarker_Early,SOFT_Top10_Late,32.8094,1.0,-261.8039,327.4226,False
HARD_Backmarker_Early,SOFT_Top5_Late,58.001,1.0,-200.6233,316.6254,False
HARD_Backmarker_Mid,HARD_Top10_Late,164.8459,1.0,-465.2946,794.9864,False
HARD_Backmarker_Mid,HARD_Top5_Late,622.2397,0.0474,2.5732,1241.9062,True
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Late,-148.8818,1.0,-771.5204,473.7567,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Mid,-291.6088,0.993,-886.312,303.0944,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Late,6.8274,1.0,-605.9664,619.6213,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Mid,-51.6245,1.0,-642.9807,539.7316,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Late,-0.6476,1.0,-604.9693,603.674,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Mid,-78.1135,1.0,-673.6421,517.4151,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Late,217.3732,1.0,-395.4207,830.167,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Mid,93.9025,1.0,-502.5472,690.3522,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Early,402.025,0.7586,-195.4594,999.5093,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Late,169.7433,1.0,-435.6761,775.1627,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Mid,63.204,1.0,-540.1096,666.5175,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Early,378.4979,0.8302,-209.4877,966.4835,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Mid,249.2512,0.9995,-347.7004,846.2028,False
HARD_Backmarker_Mid,MEDIUM_Top10_Early,364.2858,0.8772,-222.56,951.1316,False
HARD_Backmarker_Mid,MEDIUM_Top10_Late,341.8756,0.9431,-251.7387,935.4899,False
HARD_Backmarker_Mid,MEDIUM_Top10_Mid,275.2493,0.9969,-316.6001,867.0986,False
HARD_Backmarker_Mid,MEDIUM_Top5_Early,577.3285,0.0612,-9.5173,1164.1743,False
HARD_Backmarker_Mid,MEDIUM_Top5_Late,648.5253,0.0271,28.8588,1268.1918,True
HARD_Backmarker_Mid,MEDIUM_Top5_Mid,456.296,0.462,-134.8282,1047.4201,False
HARD_Backmarker_Mid,SOFT_Backmarker_Early,190.4165,1.0,-424.3898,805.2228,False
HARD_Backmarker_Mid,SOFT_Backmarker_Late,481.5489,0.3677,-117.1059,1080.2036,False
HARD_Backmarker_Mid,SOFT_Backmarker_Mid,-171.8658,1.0,-991.6075,647.876,False
HARD_Backmarker_Mid,SOFT_Midfield_Early,207.0842,1.0,-423.0562,837.2247,False
HARD_Backmarker_Mid,SOFT_Midfield_Late,298.2775,0.9886,-289.8299,886.3848,False
HARD_Backmarker_Mid,SOFT_Top10_Late,476.6615,0.4604,-140.4177,1093.7406,False
HARD_Backmarker_Mid,SOFT_Top5_Late,501.8531,0.2871,-98.8767,1102.5829,False
HARD_Top10_Late,HARD_Top5_Late,457.3938,0.0001,127.1105,787.6772,True
HARD_Top10_Late,INTERMEDIATE_Backmarker_Late,-313.7277,0.1091,-649.554,22.0986,False
HARD_Top10_Late,INTERMEDIATE_Backmarker_Mid,-456.4547,0.0,-737.1188,-175.7905,True
HARD_Top10_Late,INTERMEDIATE_Midfield_Late,-158.0185,0.9912,-475.22,159.1831,False
HARD_Top10_Late,INTERMEDIATE_Midfield_Mid,-216.4704,0.4042,-489.971,57.0302,False
HARD_Top10_Late,INTERMEDIATE_Top10_Late,-165.4935,0.9663,-466.0016,135.0147,False
HARD_Top10_Late,INTERMEDIATE_Top10_Mid,-242.9594,0.2306,-525.3683,39.4496,False
HARD_Top10_Late,INTERMEDIATE_Top5_Late,52.5273,1.0,-264.6742,369.7288,False
HARD_Top10_Late,INTERMEDIATE_Top5_Mid,-70.9434,1.0,-355.2896,213.4029,False
HARD_Top10_Late,MEDIUM_Backmarker_Early,237.1791,0.3058,-49.331,523.6892,False
HARD_Top10_Late,MEDIUM_Backmarker_Late,4.8974,1.0,-297.8123,307.6071,False
HARD_Top10_Late,MEDIUM_Backmarker_Mid,-101.6419,1.0,-400.1177,196.8339,False
HARD_Top10_Late,MEDIUM_Midfield_Early,213.652,0.3721,-52.4825,479.7865,False
HARD_Top10_Late,MEDIUM_Midfield_Mid,84.4054,1.0,-200.9921,369.8028,False
HARD_Top10_Late,MEDIUM_Top10_Early,199.4399,0.5088,-64.1668,463.0466,False
HARD_Top10_Late,MEDIUM_Top10_Late,177.0298,0.847,-101.3198,455.3793,False
HARD_Top10_Late,MEDIUM_Top10_Mid,110.4034,0.9998,-164.162,384.9688,False
HARD_Top10_Late,MEDIUM_Top5_Early,412.4827,0.0,148.876,676.0893,True
HARD_Top10_Late,MEDIUM_Top5_Late,483.6795,0.0,153.3961,813.9628,True
HARD_Top10_Late,MEDIUM_Top5_Mid,291.4501,0.0203,18.4514,564.4488,True
