group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,-16.1993,0.9439,-44.3652,11.9666,False
HARD_Backmarker_Early,HARD_Top10_Late,2.7817,1.0,-11.9275,17.4908,False
HARD_Backmarker_Early,HARD_Top5_Late,5.1571,0.9999,-8.5864,18.9007,False
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,-21.6133,0.0,-35.636,-7.5907,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,-27.1903,0.0,-38.3823,-15.9983,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,-20.1639,0.0,-33.2448,-7.0831,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,-26.9247,0.0,-37.7381,-16.1113,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,-17.5493,0.0,-29.7749,-5.3237,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,-23.6907,0.0,-34.9744,-12.4069,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,-16.4405,0.001,-29.5213,-3.3597,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,-23.8696,0.0,-35.255,-12.4842,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,-0.8978,1.0,-12.3964,10.6009,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,-1.6399,1.0,-13.979,10.6992,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,-14.9293,0.0016,-27.05,-2.8086,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,-1.1525,1.0,-11.573,9.268,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,-12.5723,0.0129,-24.0128,-1.1319,True
HARD_Backmarker_Early,MEDIUM_Top10_Early,0.396,1.0,-9.8888,10.6807,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,3.0203,1.0,-8.0497,14.0903,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,-8.6853,0.3827,-19.5551,2.1846,False
HARD_Backmarker_Early,MEDIUM_Top5_Early,2.2497,1.0,-8.035,12.5344,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,5.6205,0.9997,-8.123,19.3641,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,-8.0195,0.5495,-18.8062,2.7672,False
HARD_Backmarker_Early,SOFT_Backmarker_Early,-3.2719,1.0,-16.5494,10.0056,False
HARD_Backmarker_Early,SOFT_Backmarker_Late,1.0284,1.0,-10.5974,12.6541,False
HARD_Backmarker_Early,SOFT_Backmarker_Mid,-19.0577,0.7485,-47.2235,9.1082,False
HARD_Backmarker_Early,SOFT_Midfield_Early,-3.7082,1.0,-18.4174,11.0009,False
HARD_Backmarker_Early,SOFT_Midfield_Late,1.2415,1.0,-9.1934,11.6763,False
HARD_Backmarker_Early,SOFT_Top10_Late,1.3866,1.0,-12.1104,14.8836,False
HARD_Backmarker_Early,SOFT_Top5_Late,4.1853,1.0,-7.6629,16.0336,False
HARD_Backmarker_Mid,HARD_Top10_Late,18.9809,0.7979,-9.8874,47.8493,False
HARD_Backmarker_Mid,HARD_Top5_Late,21.3564,0.5221,-7.0321,49.745,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Late,-5.414,1.0,-33.9387,23.1107,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Mid,-10.991,0.9997,-38.2359,16.2539,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Late,-3.9647,1.0,-32.0383,24.109,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Mid,-10.7254,0.9998,-37.817,16.3662,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Late,-1.35,1.0,-29.0356,26.3355,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Mid,-7.4914,1.0,-34.7741,19.7913,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Late,-0.2412,1.0,-28.3149,27.8324,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Mid,-7.6703,1.0,-34.9953,19.6546,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Early,15.3015,0.9596,-12.0708,42.6738,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Late,14.5594,0.9817,-13.1765,42.2952,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Mid,1.27,1.0,-26.3694,28.9094,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Early,15.0468,0.96,-11.8904,41.9839,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Mid,3.627,1.0,-23.7209,30.9749,False
HARD_Backmarker_Mid,MEDIUM_Top10_Early,16.5953,0.8835,-10.2897,43.4802,False
HARD_Backmarker_Mid,MEDIUM_Top10_Late,19.2196,0.6623,-7.9755,46.4146,False
HARD_Backmarker_Mid,MEDIUM_Top10_Mid,7.514,1.0,-19.6001,34.6282,False
HARD_Backmarker_Mid,MEDIUM_Top5_Early,18.449,0.722,-8.4359,45.3339,False
HARD_Backmarker_Mid,MEDIUM_Top5_Late,21.8198,0.472,-6.5687,50.2083,False
HARD_Backmarker_Mid,MEDIUM_Top5_Mid,8.1798,1.0,-18.9012,35.2607,False
HARD_Backmarker_Mid,SOFT_Backmarker_Early,12.9274,0.9975,-15.2385,41.0933,False
HARD_Backmarker_Mid,SOFT_Backmarker_Late,17.2277,0.863,-10.1983,44.6536,False
HARD_Backmarker_Mid,SOFT_Backmarker_Mid,-2.8584,1.0,-40.4129,34.6961,False
HARD_Backmarker_Mid,SOFT_Midfield_Early,12.4911,0.9991,-16.3773,41.3594,False
HARD_Backmarker_Mid,SOFT_Midfield_Late,17.4407,0.822,-9.502,44.3835,False
HARD_Backmarker_Mid,SOFT_Top10_Late,17.5859,0.8747,-10.6841,45.8559,False
HARD_Backmarker_Mid,SOFT_Top5_Late,20.3846,0.5581,-7.1364,47.9056,False
HARD_Top10_Late,HARD_Top5_Late,2.3755,1.0,-12.7557,17.5066,False
HARD_Top10_Late,INTERMEDIATE_Backmarker_Late,-24.395,0.0,-39.7801,-9.0099,True
HARD_Top10_Late,INTERMEDIATE_Backmarker_Mid,-29.972,0.0,-42.8299,-17.114,True
HARD_Top10_Late,INTERMEDIATE_Midfield_Late,-22.9456,0.0,-37.4774,-8.4138,True
HARD_Top10_Late,INTERMEDIATE_Midfield_Mid,-29.7064,0.0,-42.2361,-17.1766,True
