group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,-4.552,0.9994,-15.3392,6.2352,False
HARD_Backmarker_Early,HARD_Top10_Late,6.9004,0.0018,1.2669,12.5338,True
HARD_Backmarker_Early,HARD_Top5_Late,5.9651,0.0077,0.7014,11.2287,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,-5.5643,0.0313,-10.9348,-0.1938,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,-8.0914,0.0,-12.3778,-3.805,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,-6.0699,0.0022,-11.0797,-1.0601,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,-7.4478,0.0,-11.5892,-3.3064,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,-5.2626,0.0089,-9.9449,-0.5804,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,-7.9142,0.0,-12.2357,-3.5926,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,-5.1909,0.0312,-10.2007,-0.1811,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,-7.0878,0.0,-11.4483,-2.7274,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,1.418,1.0,-2.9859,5.8219,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,3.3851,0.6333,-1.3406,8.1109,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,-4.2404,0.1366,-8.8825,0.4017,False
HARD_Backmarker_Early,MEDIUM_Midfield_Early,0.5829,1.0,-3.4081,4.5738,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,-4.6701,0.0208,-9.0517,-0.2885,True
HARD_Backmarker_Early,MEDIUM_Top10_Early,-0.1525,1.0,-4.0915,3.7864,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,1.7101,0.9997,-2.5296,5.9498,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,-3.4871,0.2817,-7.6501,0.676,False
HARD_Backmarker_Early,MEDIUM_Top5_Early,2.3203,0.9272,-1.6186,6.2593,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,2.5128,0.9953,-2.7509,7.7764,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,-2.5412,0.8873,-6.6724,1.59,False
HARD_Backmarker_Early,SOFT_Backmarker_Early,3.8024,0.5362,-1.2828,8.8875,False
HARD_Backmarker_Early,SOFT_Backmarker_Late,2.7159,0.8961,-1.7367,7.1684,False
HARD_Backmarker_Early,SOFT_Backmarker_Mid,-1.8607,1.0,-12.648,8.9265,False
HARD_Backmarker_Early,SOFT_Midfield_Early,0.7449,1.0,-4.8885,6.3784,False
HARD_Backmarker_Early,SOFT_Midfield_Late,3.5987,0.1563,-0.3978,7.5951,False
HARD_Backmarker_Early,SOFT_Top10_Late,4.3311,0.2812,-0.8381,9.5003,False
HARD_Backmarker_Early,SOFT_Top5_Late,4.5267,0.0516,-0.011,9.0645,False
HARD_Backmarker_Mid,HARD_Top10_Late,11.4524,0.0314,0.3961,22.5087,True
HARD_Backmarker_Mid,HARD_Top5_Late,10.5171,0.0746,-0.3555,21.3896,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Late,-1.0123,1.0,-11.937,9.9124,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Mid,-3.5394,1.0,-13.9739,6.8951,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Late,-1.5179,1.0,-12.2699,9.234,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Mid,-2.8958,1.0,-13.2716,7.48,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Late,-0.7106,1.0,-11.3139,9.8926,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Mid,-3.3622,1.0,-13.8112,7.0868,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Late,-0.6389,1.0,-11.3908,10.1131,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Mid,-2.5358,1.0,-13.001,7.9293,False
