group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,5.722,0.9998,-8.6052,20.0492,False
HARD_Backmarker_Early,HARD_Top10_Late,-0.7468,1.0,-8.229,6.7353,False
HARD_Backmarker_Early,HARD_Top5_Late,-1.4511,1.0,-8.4421,5.5399,False
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,9.4497,0.0003,2.3167,16.5826,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,13.4216,0.0,7.7286,19.1147,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,9.1315,0.0001,2.4777,15.7854,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,13.427,0.0,7.9266,18.9275,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,8.1287,0.0004,1.9098,14.3475,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,12.0143,0.0,6.2745,17.754,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,7.2914,0.0135,0.6375,13.9452,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,12.0109,0.0,6.2195,17.8024,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,0.6391,1.0,-5.21,6.4882,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,1.2275,1.0,-5.0491,7.504,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,7.1952,0.0046,1.0297,13.3607,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,0.5624,1.0,-4.7383,5.863,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,5.5598,0.0858,-0.2596,11.3793,False
HARD_Backmarker_Early,MEDIUM_Top10_Early,-0.1341,1.0,-5.3657,5.0975,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,-0.6691,1.0,-6.3002,4.9619,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,4.007,0.6076,-1.5222,9.5362,False
HARD_Backmarker_Early,MEDIUM_Top5_Early,-0.9625,1.0,-6.1941,4.269,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,-1.7056,1.0,-8.6966,5.2854,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,3.7858,0.7114,-1.7011,9.2727,False
HARD_Backmarker_Early,SOFT_Backmarker_Early,1.5974,1.0,-5.1565,8.3514,False
HARD_Backmarker_Early,SOFT_Backmarker_Late,0.1635,1.0,-5.7502,6.0772,False
HARD_Backmarker_Early,SOFT_Backmarker_Mid,7.21,0.9898,-7.1172,21.5372,False
HARD_Backmarker_Early,SOFT_Midfield_Early,1.5105,1.0,-5.9716,8.9927,False
HARD_Backmarker_Early,SOFT_Midfield_Late,-0.0231,1.0,-5.331,5.2849,False
HARD_Backmarker_Early,SOFT_Top10_Late,0.5207,1.0,-6.3449,7.3862,False
HARD_Backmarker_Early,SOFT_Top5_Late,-1.0266,1.0,-7.0535,5.0003,False
HARD_Backmarker_Mid,HARD_Top10_Late,-6.4688,0.9987,-21.1534,8.2158,False
HARD_Backmarker_Mid,HARD_Top5_Late,-7.1731,0.9915,-21.6136,7.2674,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Late,3.7277,1.0,-10.7821,18.2375,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Mid,7.6996,0.9625,-6.1591,21.5584,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Late,3.4095,1.0,-10.8708,17.6899,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Mid,7.705,0.9595,-6.0757,21.4858,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Late,2.4067,1.0,-11.6763,16.4896,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Mid,6.2923,0.9979,-7.5857,20.1703,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Late,1.5694,1.0,-12.711,15.8497,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Mid,6.2889,0.998,-7.6106,20.1884,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Early,-5.0829,1.0,-19.0065,8.8407,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Late,-4.4945,1.0,-18.603,9.614,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Mid,1.4732,1.0,-12.5862,15.5326,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Early,-5.1596,0.9999,-18.8619,8.5426,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Mid,-0.1622,1.0,-14.0733,13.749,False
HARD_Backmarker_Mid,MEDIUM_Top10_Early,-5.8561,0.9992,-19.5318,7.8196,False
HARD_Backmarker_Mid,MEDIUM_Top10_Late,-6.3911,0.9972,-20.2245,7.4423,False
HARD_Backmarker_Mid,MEDIUM_Top10_Mid,-1.715,1.0,-15.5072,12.0773,False
HARD_Backmarker_Mid,MEDIUM_Top5_Early,-6.6845,0.9933,-20.3602,6.9911,False
HARD_Backmarker_Mid,MEDIUM_Top5_Late,-7.4276,0.9861,-21.8681,7.0129,False
HARD_Backmarker_Mid,MEDIUM_Top5_Mid,-1.9362,1.0,-15.7116,11.8391,False
HARD_Backmarker_Mid,SOFT_Backmarker_Early,-4.1246,1.0,-18.4518,10.2027,False
HARD_Backmarker_Mid,SOFT_Backmarker_Late,-5.5585,0.9998,-19.5094,8.3923,False
HARD_Backmarker_Mid,SOFT_Backmarker_Mid,1.488,1.0,-17.615,20.591,False
HARD_Backmarker_Mid,SOFT_Midfield_Early,-4.2115,1.0,-18.896,10.4731,False
HARD_Backmarker_Mid,SOFT_Midfield_Late,-5.7451,0.9995,-19.4501,7.96,False
HARD_Backmarker_Mid,SOFT_Top10_Late,-5.2013,1.0,-19.5815,9.1789,False
HARD_Backmarker_Mid,SOFT_Top5_Late,-6.7486,0.9946,-20.7478,7.2506,False
HARD_Top10_Late,HARD_Top5_Late,-0.7043,1.0,-8.4011,6.9926,False
HARD_Top10_Late,INTERMEDIATE_Backmarker_Late,10.1965,0.0005,2.3705,18.0225,True
HARD_Top10_Late,INTERMEDIATE_Backmarker_Mid,14.1684,0.0,7.6279,20.709,True
HARD_Top10_Late,INTERMEDIATE_Midfield_Late,9.8783,0.0002,2.4864,17.2703,True
HARD_Top10_Late,INTERMEDIATE_Midfield_Mid,14.1739,0.0,7.8003,20.5474,True
HARD_Top10_Late,INTERMEDIATE_Top10_Late,8.8755,0.0009,1.8725,15.8784,True
HARD_Top10_Late,INTERMEDIATE_Top10_Mid,12.7611,0.0,6.1799,19.3423,True
HARD_Top10_Late,INTERMEDIATE_Top5_Late,8.0382,0.0153,0.6462,15.4301,True
HARD_Top10_Late,INTERMEDIATE_Top5_Mid,12.7577,0.0,6.1314,19.384,True
HARD_Top10_Late,MEDIUM_Backmarker_Early,1.3859,1.0,-5.2908,8.0627,False
HARD_Top10_Late,MEDIUM_Backmarker_Late,1.9743,1.0,-5.08,9.0285,False
HARD_Top10_Late,MEDIUM_Backmarker_Mid,7.942,0.0068,0.9864,14.8976,True
HARD_Top10_Late,MEDIUM_Midfield_Early,1.3092,1.0,-4.8927,7.5111,False
HARD_Top10_Late,MEDIUM_Midfield_Mid,6.3067,0.0932,-0.3441,12.9575,False
HARD_Top10_Late,MEDIUM_Top10_Early,0.6127,1.0,-5.5303,6.7557,False
HARD_Top10_Late,MEDIUM_Top10_Late,0.0777,1.0,-6.4089,6.5642,False
HARD_Top10_Late,MEDIUM_Top10_Mid,4.7538,0.551,-1.6445,11.1522,False
HARD_Top10_Late,MEDIUM_Top5_Early,-0.2157,1.0,-6.3587,5.9273,False
HARD_Top10_Late,MEDIUM_Top5_Late,-0.9588,1.0,-8.6556,6.7381,False
HARD_Top10_Late,MEDIUM_Top5_Mid,4.5326,0.645,-1.8293,10.8945,False
HARD_Top10_Late,SOFT_Backmarker_Early,2.3443,1.0,-5.1379,9.8264,False
HARD_Top10_Late,SOFT_Backmarker_Late,0.9103,1.0,-5.8231,7.6437,False
HARD_Top10_Late,SOFT_Backmarker_Mid,7.9568,0.9724,-6.7278,22.6414,False
HARD_Top10_Late,SOFT_Midfield_Early,2.2574,1.0,-5.8882,10.4029,False
HARD_Top10_Late,SOFT_Midfield_Late,0.7237,1.0,-5.4844,6.9319,False
HARD_Top10_Late,SOFT_Top10_Late,1.2675,1.0,-6.3156,8.8506,False
HARD_Top10_Late,SOFT_Top5_Late,-0.2798,1.0,-7.1129,6.5532,False
HARD_Top5_Late,INTERMEDIATE_Backmarker_Late,10.9008,0.0,3.543,18.2586,True
HARD_Top5_Late,INTERMEDIATE_Backmarker_Mid,14.8727,0.0,8.9003,20.8451,True
HARD_Top5_Late,INTERMEDIATE_Midfield_Late,10.5826,0.0,3.6882,17.477,True
HARD_Top5_Late,INTERMEDIATE_Midfield_Mid,14.8781,0.0,9.089,20.6672,True
HARD_Top5_Late,INTERMEDIATE_Top10_Late,9.5797,0.0,3.1042,16.0552,True
HARD_Top5_Late,INTERMEDIATE_Top10_Mid,13.4653,0.0,7.4485,19.4822,True
