group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,-21.25,0.054,-42.6325,0.1325,False
HARD_Backmarker_Early,HARD_Top10_Late,-18.75,0.0,-29.9166,-7.5834,True
HARD_Backmarker_Early,HARD_Top5_Late,-17.8929,0.0,-28.3264,-7.4593,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,-26.6731,0.0,-37.3185,-16.0276,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,-26.4605,0.0,-34.9571,-17.964,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,-22.2794,0.0,-32.2099,-12.349,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,-24.7704,0.0,-32.9795,-16.5613,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,-21.1848,0.0,-30.466,-11.9036,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,-23.8333,0.0,-32.3995,-15.2672,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,-20.3382,0.0,-30.2687,-10.4078,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,-23.3971,0.0,-32.0404,-14.7537,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,-12.25,0.0001,-20.9794,-3.5206,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,-19.6136,0.0,-28.981,-10.2463,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,-23.5,0.0,-32.7015,-14.2985,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,-8.1123,0.036,-16.0231,-0.2015,True
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,-17.9015,0.0,-26.5867,-9.2164,True
HARD_Backmarker_Early,MEDIUM_Top10_Early,-10.375,0.0003,-18.1828,-2.5672,True
HARD_Backmarker_Early,MEDIUM_Top10_Late,-15.2622,0.0,-23.6661,-6.8583,True
HARD_Backmarker_Early,MEDIUM_Top10_Mid,-15.0479,0.0,-23.2998,-6.7959,True
HARD_Backmarker_Early,MEDIUM_Top5_Early,-15.8625,0.0,-23.6703,-8.0547,True
HARD_Backmarker_Early,MEDIUM_Top5_Late,-16.3214,0.0,-26.755,-5.8879,True
HARD_Backmarker_Early,MEDIUM_Top5_Mid,-18.87,0.0,-27.0589,-10.6811,True
HARD_Backmarker_Early,SOFT_Backmarker_Early,-16.125,0.0,-26.2048,-6.0452,True
HARD_Backmarker_Early,SOFT_Backmarker_Late,-19.6167,0.0,-28.4425,-10.7909,True
HARD_Backmarker_Early,SOFT_Backmarker_Mid,-26.75,0.0011,-48.1325,-5.3675,True
HARD_Backmarker_Early,SOFT_Midfield_Early,-11.2045,0.0479,-22.3712,-0.0379,True
HARD_Backmarker_Early,SOFT_Midfield_Late,-17.8088,0.0,-25.7306,-9.8871,True
HARD_Backmarker_Early,SOFT_Top10_Late,-17.55,0.0,-27.7964,-7.3036,True
HARD_Backmarker_Early,SOFT_Top5_Late,-15.713,0.0,-24.7077,-6.7182,True
HARD_Backmarker_Mid,HARD_Top10_Late,2.5,1.0,-19.4158,24.4158,False
HARD_Backmarker_Mid,HARD_Top5_Late,3.3571,1.0,-18.1944,24.9086,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Late,-5.4231,1.0,-27.0779,16.2318,False
HARD_Backmarker_Mid,INTERMEDIATE_Backmarker_Mid,-5.2105,1.0,-25.8938,15.4728,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Late,-1.0294,1.0,-22.3419,20.2831,False
HARD_Backmarker_Mid,INTERMEDIATE_Midfield_Mid,-3.5204,1.0,-24.0873,17.0465,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Late,0.0652,1.0,-20.9526,21.083,False
HARD_Backmarker_Mid,INTERMEDIATE_Top10_Mid,-2.5833,1.0,-23.2953,18.1287,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Late,0.9118,1.0,-20.4007,22.2242,False
HARD_Backmarker_Mid,INTERMEDIATE_Top5_Mid,-2.1471,1.0,-22.8911,18.597,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Early,9.0,0.9991,-11.78,29.78,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Late,1.6364,1.0,-19.4196,22.6924,False
HARD_Backmarker_Mid,MEDIUM_Backmarker_Mid,-2.25,1.0,-23.2328,18.7328,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Early,13.1377,0.833,-7.312,33.5873,False
HARD_Backmarker_Mid,MEDIUM_Midfield_Mid,3.3485,1.0,-17.413,24.11,False
HARD_Backmarker_Mid,MEDIUM_Top10_Early,10.875,0.9777,-9.535,31.285,False
HARD_Backmarker_Mid,MEDIUM_Top10_Late,5.9878,1.0,-14.6576,26.6332,False
