group1,group2,meandiff,p-adj,lower,upper,reject
HARD_Backmarker_Early,HARD_Backmarker_Mid,1.6395,0.7163,-0.7427,4.0217,False
HARD_Backmarker_Early,HARD_Top10_Late,-0.828,0.7776,-2.072,0.416,False
HARD_Backmarker_Early,HARD_Top5_Late,-0.8925,0.4744,-2.0549,0.2699,False
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Late,2.4135,0.0,1.2276,3.5995,True
HARD_Backmarker_Early,INTERMEDIATE_Backmarker_Mid,3.6155,0.0,2.6689,4.5621,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Late,2.0928,0.0,0.9864,3.1991,True
HARD_Backmarker_Early,INTERMEDIATE_Midfield_Mid,3.5171,0.0,2.6026,4.4317,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Late,2.0104,0.0,0.9764,3.0444,True
HARD_Backmarker_Early,INTERMEDIATE_Top10_Mid,3.4523,0.0,2.498,4.4067,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Late,1.7096,0.0,0.6033,2.8159,True
HARD_Backmarker_Early,INTERMEDIATE_Top5_Mid,3.1831,0.0,2.2202,4.146,True
HARD_Backmarker_Early,MEDIUM_Backmarker_Early,0.2021,1.0,-0.7704,1.1746,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Late,-0.121,1.0,-1.1645,0.9226,False
HARD_Backmarker_Early,MEDIUM_Backmarker_Mid,1.8539,0.0,0.8288,2.879,True
HARD_Backmarker_Early,MEDIUM_Midfield_Early,0.1084,1.0,-0.773,0.9897,False
HARD_Backmarker_Early,MEDIUM_Midfield_Mid,1.625,0.0,0.6574,2.5926,True
HARD_Backmarker_Early,MEDIUM_Top10_Early,0.0094,1.0,-0.8604,0.8793,False
HARD_Backmarker_Early,MEDIUM_Top10_Late,-0.692,0.5631,-1.6282,0.2443,False
HARD_Backmarker_Early,MEDIUM_Top10_Mid,1.2041,0.0004,0.2848,2.1235,True
HARD_Backmarker_Early,MEDIUM_Top5_Early,-0.2067,1.0,-1.0766,0.6631,False
HARD_Backmarker_Early,MEDIUM_Top5_Late,-0.9873,0.2545,-2.1497,0.1751,False
HARD_Backmarker_Early,MEDIUM_Top5_Mid,1.1943,0.0004,0.282,2.1066,True
HARD_Backmarker_Early,SOFT_Backmarker_Early,0.5336,0.9957,-0.5894,1.6565,False
HARD_Backmarker_Early,SOFT_Backmarker_Late,-0.2355,1.0,-1.2188,0.7478,False
HARD_Backmarker_Early,SOFT_Backmarker_Mid,2.3525,0.0584,-0.0297,4.7347,False
HARD_Backmarker_Early,SOFT_Midfield_Early,0.3585,1.0,-0.8855,1.6026,False
HARD_Backmarker_Early,SOFT_Midfield_Late,-0.3779,0.9992,-1.2604,0.5047,False
HARD_Backmarker_Early,SOFT_Top10_Late,-0.7202,0.8575,-1.8617,0.4213,False
HARD_Backmarker_Early,SOFT_Top5_Late,-0.9053,0.1517,-1.9074,0.0968,False
HARD_Backmarker_Mid,HARD_Top10_Late,-2.4675,0.0437,-4.9091,-0.0259,True
